iter	Passed	Remaining
1233	3815	27102
1234	3818	27098
1235	3821	27093
1236	3823	27088
1237	3827	27086
1238	3829	27081
1239	3832	27077
1240	3836	27075
1241	3838	27069
1242	3841	27066
1243	3844	27062
1244	3847	27056
1245	3850	27054
1246	3853	27049
1247	3856	27044
1248	3859	27043
1249	3862	27039
1250	3865	27035
1251	3868	27032
1252	3871	27026
1253	3874	27023
1254	3877	27018
1255	3880	27012
1256	3882	27007
1257	3885	27003
1258	3888	26998
1259	3891	26994
1260	3894	26988
1261	3897	26983
1262	3900	26979
1263	3903	26975
1264	3905	26970
1265	3908	26967
1266	3911	26962
1267	3914	26956
1268	3917	26952
1269	3920	26946
1270	3922	26941
1271	3925	26937
1272	3928	26931
1273	3931	26926
1274	3934	26923
1275	3937	26918
1276	3940	26915
1277	3943	26909
1278	3945	26904
1279	3948	26899
1280	3951	26896
1281	3954	26890
1282	3957	26887
1283	3960	26881
1284	3962	26876
1285	3966	26874
1286	3969	26870
1287	3971	26865
1288	3974	26862
1289	3977	26857
1290	3980	26852
1291	3983	26849
1292	3986	26844
1293	3989	26839
1294	3992	26835
1295	3994	26830
1296	3997	26826
1297	4000	26822
1298	4003	26817
1299	4006	26814
1300	4009	26808
1301	4012	26803
1302	4015	26800
1303	4018	26795
1304	4020	26790
1305	4023	26786
1306	4026	26781
1307	4029	26775
1308	4032	26772
1309	4035	26768
1310	4038	26764
1311	4041	26760
1312	4043	26755
1313	4047	26754
1314	4050	26751
1315	4053	26746
1316	4056	26743
1317	4059	26739
1318	4062	26735
1319	4065	26731
1320	4068	26728
1321	4071	26724
1322	4074	26722
1323	4077	26716
1324	4079	26711
1325	4083	26709
1326	4086	26705
1327	4088	26701
1328	4092	26698
1329	4095	26695
1330	4098	26693
1331	4101	26691
1332	4104	26686
1333	4107	26684
1334	4110	26680
1335	4113	26676
1336	4116	26675
1337	4119	26670
1338	4122	26667
1339	4125	26663
1340	4128	26657
1341	4132	26659
1342	4135	26655
1343	4138	26650
1344	4140	26646
1345	4143	26642
1346	4146	26638
1347	4150	26637
1348	4152	26632
1349	4155	26628
1350	4158	26624
1351	4161	26619
1352	4164	26616
1353	4167	26613
1354	4170	26608
1355	4173	26605
1356	4176	26600
1357	4179	26595
1358	4182	26594
1359	4185	26588
1360	4188	26584
1361	4191	26581
1362	4193	26575
1363	4196	26572
1364	4200	26569
1365	4202	26564
1366	4206	26562
1367	4209	26558
1368	4211	26554
1369	4215	26552
1370	4218	26548
1371	4220	26544
1372	4223	26540
1373	4226	26534
1374	4229	26532
1375	4232	26530
1376	4235	26524
1377	4238	26522
1378	4241	26518
1379	4244	26512
1380	4247	26509
1381	4250	26504
1382	4253	26499
1383	4255	26495
1384	4258	26490
1385	4261	26485
1386	4264	26482
1387	4267	26477
1388	4270	26471
1389	4272	26467
1390	4275	26462
1391	4278	26457
1392	4281	26454
1393	4284	26449
1394	4287	26445
1395	4289	26440
1396	4292	26435
1397	4295	26433
1398	4299	26430
1399	4301	26425
1400	4304	26421
1401	4307	26416
1402	4310	26410
1403	4312	26406
1404	4315	26401
1405	4318	26397
1406	4321	26393
1407	4324	26388
1408	4327	26383
1409	4330	26380
1410	4332	26375
1411	4335	26370
1412	4338	26366
1413	4341	26361
1414	4344	26356
1415	4347	26352
1416	4349	26347
1417	4352	26342
1418	4355	26338
1419	4358	26334
1420	4361	26328
1421	4364	26326
1422	4366	26321
1423	4369	26317
1424	4372	26313
1425	4375	26309
1426	4378	26305
1427	4381	26301
1428	4384	26297
1429	4387	26293
1430	4390	26288
1431	4392	26283
1432	4395	26279
1433	4398	26275
1434	4401	26270
1435	4404	26266
1436	4407	26262
1437	4409	26257
1438	4412	26253
1439	4415	26248
1440	4418	26243
1441	4421	26239
1442	4424	26234
1443	4426	26229
1444	4429	26225
1445	4432	26222
1446	4435	26218
1447	4439	26218
1448	4442	26215
1449	4445	26211
1450	4448	26207
1451	4450	26203
1452	4454	26200
1453	4457	26201
1454	4460	26197
1455	4463	26195
1456	4466	26190
1457	4469	26187
1458	4473	26187
1459	4476	26183
1460	4479	26179
1461	4482	26176
1462	4485	26171
1463	4488	26171
1464	4491	26168
1465	4494	26164
1466	4497	26162
1467	4500	26157
1468	4503	26156
1469	4508	26159
1470	4511	26156
1471	4514	26153
1472	4517	26149
1473	4520	26147
1474	4524	26147
1475	4527	26143
1476	4530	26141
1477	4533	26137
1478	4536	26135
1479	4539	26135
1480	4543	26132
1481	4546	26129
1482	4548	26125
1483	4551	26121
1484	4555	26120
1485	4558	26116
1486	4561	26113
1487	4564	26109
1488	4567	26105
1489	4570	26104
1490	4574	26104
1491	4577	26101
1492	4580	26098
1493	4583	26093
1494	4586	26092
1495	4590	26092
1496	4593	26088
1497	4596	26086
1498	4598	26081
1499	4602	26078
1500	4605	26079
1501	4608	26076
1502	4611	26073
1503	4614	26068
1504	4617	26064
1505	4621	26065
1506	4624	26061
1507	4627	26058
1508	4630	26054
1509	4633	26051
1510	4637	26051
1511	4640	26051
1512	4643	26047
1513	4646	26044
1514	4649	26040
1515	4653	26039
1516	4656	26037
1517	4659	26033
1518	4662	26032
1519	4665	26027
1520	4668	26026
1521	4672	26026
1522	4675	26024
1523	4678	26021
1524	4681	26016
1525	4685	26017
1526	4688	26015
1527	4691	26013
1528	4694	26009
1529	4697	26005
1530	4700	26002
1531	4704	26002
1532	4707	25998
1533	4710	25996
1534	4713	25993
1535	4716	25988
1536	4719	25987
1537	4723	25987
1538	4726	25986
1539	4732	25996
1540	4735	25996
1541	4739	25997
1542	4743	25995
1543	4745	25991
1544	4748	25986
1545	4752	25986
1546	4755	25983
1547	4758	25979
1548	4761	25975
1549	4763	25970
1550	4766	25967
1551	4770	25964
1552	4772	25960
1553	4776	25960
1554	4779	25955
1555	4782	25952
1556	4785	25950
1557	4788	25946
1558	4791	25942
1559	4794	25938
1560	4797	25933
1561	4800	25932
1562	4803	25927
1563	4806	25923
1564	4809	25919
1565	4811	25914
1566	4814	25910
1567	4817	25908
1568	4821	25907
1569	4824	25904
1570	4827	25900
1571	4829	25895
1572	4833	25893
1573	4836	25891
1574	4839	25887
1575	4842	25883
1576	4845	25878
1577	4848	25874
1578	4851	25872
1579	4854	25870
1580	4857	25867
1581	4860	25864
1582	4863	25860
1583	4866	25857
1584	4869	25854
1585	4872	25849
1586	4875	25846
1587	4878	25841
1588	4881	25838
1589	4884	25836
1590	4888	25835
1591	4891	25832
1592	4894	25827
1593	4896	25823
1594	4900	25822
1595	4903	25818
1596	4906	25815
1597	4909	25812
1598	4912	25807
1599	4915	25805
1600	4918	25804
1601	4921	25799
1602	4924	25796
1603	4927	25793
1604	4930	25788
1605	4933	25786
1606	4936	25783
1607	4939	25780
1608	4942	25776
1609	4945	25772
1610	4948	25769
1611	4951	25766
1612	4954	25761
1613	4957	25759
1614	4960	25755
1615	4963	25750
1616	4966	25748
1617	4970	25750
1618	4974	25749
1619	4977	25746
1620	4980	25745
1621	4984	25747
1622	4988	25747
1623	4992	25748
1624	4995	25747
1625	4999	25746
1626	5002	25742
1627	5005	25739
1628	5008	25737
1629	5011	25734
1630	5014	25732
1631	5018	25731
1632	5021	25728
1633	5024	25727
1634	5027	25722
1635	5030	25720
1636	5034	25719
1637	5037	25717
1638	5040	25715
1639	5043	25710
1640	5046	25708
1641	5050	25706
1642	5052	25701
1643	5056	25698
1644	5059	25695
1645	5061	25690
1646	5065	25690
1647	5068	25689
1648	5072	25687
1649	5075	25687
1650	5080	25690
1651	5083	25686
1652	5086	25683
1653	5089	25681
1654	5092	25676
1655	5095	25675
1656	5098	25672
1657	5101	25669
1658	5105	25667
1659	5107	25662
1660	5111	25660
1661	5114	25658
1662	5117	25653
1663	5120	25653
1664	5123	25648
1665	5126	25645
1666	5129	25643
1667	5133	25640
1668	5136	25637
1669	5139	25634
1670	5142	25630
1671	5145	25627
1672	5148	25626
1673	5152	25624
1674	5155	25622
1675	5158	25617
1676	5161	25615
1677	5164	25613
1678	5167	25611
1679	5171	25609
1680	5174	25606
1681	5177	25603
1682	5180	25601
1683	5183	25598
1684	5186	25595
1685	5189	25591
1686	5192	25588
1687	5196	25586
1688	5199	25583
1689	5202	25580
1690	5205	25576
1691	5207	25572
1692	5211	25569
1693	5214	25569
1694	5218	25568
1695	5221	25565
